Game_id,Team,Location,Team_Minutes,Final_Score,lead_changes,ties,largest_lead,Wins,Losses,full_timeouts,short_timeouts,date_est,Qtr_4_Score,L2M_Score
21000001,BOS,H,240,88,1,2,19,1,0,5,2,10/26/2010,63,83
21000001,MIA,A,240,80,0,0,2,0,1,6,2,10/26/2010,57,75
21000002,PHX,A,240,92,10,3,6,0,1,5,1,10/26/2010,81,92
21000002,POR,H,240,106,10,2,14,1,0,4,1,10/26/2010,75,100
21000003,HOU,A,240,110,3,2,15,0,1,5,2,10/26/2010,82,100
21000003,LAL,H,240,112,3,1,8,1,0,4,0,10/26/2010,77,104
21000004,BOS,A,240,87,5,6,11,1,1,4,2,10/27/2010,73,84
21000004,CLE,H,240,95,5,4,8,1,0,5,2,10/27/2010,68,89
21000005,BRK,H,240,101,9,5,6,1,0,5,1,10/27/2010,70,88
21000005,DET,A,240,98,8,2,10,0,1,4,2,10/27/2010,67,92
21000006,MIA,A,240,97,1,0,26,1,1,4,1,10/27/2010,80,92
21000006,PHI,H,240,87,1,3,2,0,1,4,2,10/27/2010,54,81
21000007,NYK,A,240,98,4,2,16,1,0,5,1,10/27/2010,74,96
21000007,TOR,H,240,93,3,1,3,0,1,5,1,10/27/2010,72,89
21000008,ATL,A,240,119,1,1,20,1,0,4,0,10/27/2010,91,119
21000008,MEM,H,240,104,1,1,4,0,1,5,2,10/27/2010,75,101
21000009,MIN,H,240,116,8,7,9,0,1,5,2,10/27/2010,83,107
21000009,SAC,A,240,117,9,5,9,1,0,5,1,10/27/2010,87,111
21000010,NOP,H,240,95,9,4,10,1,0,4,1,10/27/2010,78,92
21000010,MIL,A,240,91,9,4,5,0,1,5,1,10/27/2010,72,86
21000011,CHI,A,240,95,9,4,4,0,1,5,2,10/27/2010,82,91
21000011,OKC,H,240,106,10,8,13,1,0,4,0,10/27/2010,82,98
21000012,DAL,H,240,101,2,3,19,1,0,4,1,10/27/2010,80,99
21000012,CHA,A,240,86,2,1,4,0,1,4,2,10/27/2010,67,86
21000013,IND,A,240,109,5,2,3,0,1,4,1,10/27/2010,89,104
21000013,SAS,H,240,122,5,2,18,1,0,4,1,10/27/2010,92,118
21000014,DEN,H,240,110,0,0,27,1,0,5,1,10/27/2010,86,105
21000014,UTA,A,240,88,0,0,0,0,1,3,0,10/27/2010,65,85
21000015,GSW,H,240,132,6,4,12,1,0,4,1,10/27/2010,104,126
21000015,HOU,A,240,128,5,9,4,0,2,6,1,10/27/2010,96,118
21000016,LAC,H,240,88,3,1,4,0,1,5,1,10/27/2010,71,82
21000016,POR,A,240,98,4,5,12,2,0,5,1,10/27/2010,70,91
21000017,ORL,H,240,112,0,0,35,1,0,3,0,10/28/2010,90,110
21000017,WAS,A,240,83,0,0,0,0,1,5,1,10/28/2010,59,77
21000018,PHX,A,240,110,0,0,18,1,1,4,0,10/28/2010,84,104
21000018,UTA,H,240,94,0,0,0,0,2,5,1,10/28/2010,72,87
21000019,IND,A,240,104,5,2,5,1,1,4,2,10/29/2010,73,98
21000019,CHA,H,240,101,5,2,11,0,2,5,2,10/29/2010,80,98
21000020,BRK,H,240,106,2,3,18,2,0,5,1,10/29/2010,76,94
21000020,SAC,A,240,100,1,1,8,1,1,5,2,10/29/2010,77,97
21000021,ATL,A,240,104,1,1,15,2,0,5,2,10/29/2010,84,97
21000021,PHI,H,240,101,0,5,9,0,2,5,2,10/29/2010,74,91
21000022,CLE,A,240,81,1,1,2,1,1,4,1,10/29/2010,55,75
21000022,TOR,H,240,101,1,2,23,1,1,4,1,10/29/2010,77,97
21000023,BOS,H,240,105,3,1,12,2,1,5,1,10/29/2010,79,101
21000023,NYK,A,240,101,2,3,9,1,1,5,1,10/29/2010,72,90
21000024,OKC,A,240,105,2,1,12,2,0,4,2,10/29/2010,83,101
21000024,DET,H,240,104,1,5,6,0,2,4,3,10/29/2010,79,97
21000025,MIA,H,240,96,4,2,27,2,1,4,0,10/29/2010,79,91
21000025,ORL,A,240,70,4,5,3,1,1,4,0,10/29/2010,55,70
21000026,MIL,A,240,85,3,1,8,0,2,4,0,10/29/2010,64,80
21000026,MIN,H,240,96,4,0,17,1,1,4,0,10/29/2010,74,93
21000027,NOP,H,240,101,6,4,16,2,0,5,0,10/29/2010,72,94
21000027,DEN,A,240,95,5,3,8,1,1,5,1,10/29/2010,71,88
21000028,DAL,H,240,90,7,1,11,1,1,5,3,10/29/2010,75,88
21000028,MEM,A,240,91,8,4,4,1,1,5,1,10/29/2010,69,87
21000029,GSW,H,240,109,3,3,24,2,0,4,2,10/29/2010,90,106
21000029,LAC,A,240,91,3,2,3,0,2,5,0,10/29/2010,67,89
21000030,LAL,A,240,114,9,0,13,2,0,4,0,10/29/2010,87,107
21000030,PHX,H,240,106,9,7,1,1,2,5,2,10/29/2010,79,96
21000031,ATL,H,240,99,3,2,9,3,0,4,0,10/30/2010,70,93
21000031,WAS,A,240,95,2,6,11,0,2,6,2,10/30/2010,70,87
21000032,CLE,H,240,104,4,7,16,1,2,5,2,10/30/2010,82,99
21000032,SAC,A,240,107,5,4,11,2,1,4,2,10/30/2010,84,105
21000033,NYK,H,240,95,6,8,9,1,2,5,2,10/30/2010,74,94
21000033,POR,A,240,100,6,5,12,3,0,5,2,10/30/2010,74,95
21000034,IND,H,240,99,4,7,16,2,1,4,0,10/30/2010,78,95
21000034,PHI,A,240,86,4,3,13,0,3,4,1,10/30/2010,66,82
21000035,CHI,H,240,101,5,5,10,1,1,4,1,10/30/2010,67,92
21000035,DET,A,240,91,5,5,21,0,3,5,2,10/30/2010,82,88
21000036,MIN,A,240,89,0,2,0,1,2,5,0,10/30/2010,75,82
21000036,MEM,H,240,109,0,0,25,2,1,4,2,10/30/2010,87,107
21000037,DEN,A,240,107,9,7,13,2,1,4,0,10/30/2010,72,99
21000037,HOU,H,240,94,8,1,7,0,3,6,0,10/30/2010,69,89
21000038,MIL,H,240,98,1,0,14,1,2,4,0,10/30/2010,73,93
21000038,CHA,A,240,88,1,1,1,0,3,5,1,10/30/2010,62,85
21000039,NOP,A,240,99,4,5,18,3,0,5,1,10/30/2010,76,93
21000039,SAS,H,240,90,3,1,9,1,1,5,1,10/30/2010,60,90
21000040,MIA,A,240,101,1,1,26,3,1,4,0,10/31/2010,85,99
21000040,BRK,H,240,78,0,0,2,2,1,4,1,10/31/2010,61,74
21000041,DAL,A,240,99,1,2,18,2,1,4,1,10/31/2010,78,95
21000041,LAC,H,240,83,1,6,6,0,3,5,1,10/31/2010,66,81
21000042,OKC,H,240,99,2,4,2,2,1,4,0,10/31/2010,74,96
21000042,UTA,A,240,120,3,1,27,1,2,4,0,10/31/2010,91,118
21000043,GSW,A,240,83,0,1,0,2,1,4,1,10/31/2010,64,75
21000043,LAL,H,240,107,0,0,32,3,0,4,0,10/31/2010,81,104
21000044,CHI,H,240,110,2,0,17,2,1,5,0,11/1/2010,88,106
21000044,POR,A,240,98,1,0,2,3,1,4,0,11/1/2010,73,92
21000045,SAC,H,240,111,2,3,8,3,1,5,0,11/1/2010,78,104
21000045,TOR,A,240,108,1,0,17,1,2,5,2,11/1/2010,86,99
21000046,LAC,H,240,88,2,3,5,0,4,4,0,11/1/2010,65,83
21000046,SAS,A,240,97,2,2,17,2,1,4,0,11/1/2010,75,97
21000047,ATL,A,240,100,2,1,17,4,0,4,1,11/2/2010,74,97
21000047,CLE,H,240,88,1,0,7,1,3,4,2,11/2/2010,73,87
21000048,PHI,A,265,115,4,7,14,0,4,6,2,11/2/2010,66,96
21000048,WAS,H,265,116,4,5,11,1,2,6,2,11/2/2010,72,90
21000049,BOS,A,240,109,0,0,23,3,1,4,0,11/2/2010,88,105
21000049,DET,H,240,86,0,0,0,0,4,4,1,11/2/2010,68,85
21000050,MIA,H,240,129,3,2,34,4,1,4,0,11/2/2010,98,125
21000050,MIN,A,240,97,2,0,3,1,3,4,1,11/2/2010,70,95
21000051,NYK,H,265,113,8,11,7,36,38,5,0,3/28/2011,75,96
21000051,ORL,A,265,106,7,8,6,47,27,7,3,3/28/2011,73,90
21000052,MIL,H,240,76,1,0,12,1,3,4,0,11/2/2010,62,76
21000052,POR,A,240,90,2,1,18,4,1,4,1,11/2/2010,73,88
21000053,LAL,H,240,124,0,0,29,4,0,4,0,11/2/2010,97,121
21000053,MEM,A,240,105,0,0,0,2,2,4,0,11/2/2010,76,101
21000054,ATL,H,240,94,9,11,11,5,0,4,1,11/3/2010,70,89
21000054,DET,A,240,85,8,6,6,0,5,5,2,11/3/2010,66,83
21000055,BRK,H,240,83,7,4,10,2,2,4,3,11/3/2010,61,81
21000055,CHA,A,240,85,7,3,11,1,3,5,2,11/3/2010,62,81
21000056,MIN,A,240,86,1,0,6,1,4,3,1,11/3/2010,63,84
21000056,ORL,H,240,128,1,1,42,2,1,4,0,11/3/2010,102,121
21000057,IND,A,240,75,0,1,2,2,2,3,0,11/3/2010,58,69
21000057,PHI,H,240,101,1,2,32,1,4,4,0,11/3/2010,78,97
21000058,BOS,H,265,105,8,8,9,4,1,6,2,11/3/2010,62,83
21000058,MIL,A,265,102,7,7,7,1,4,6,4,11/3/2010,63,82
21000059,NOP,A,240,107,8,10,11,4,0,5,0,11/3/2010,73,93
21000059,HOU,H,240,99,7,6,9,0,4,5,1,11/3/2010,71,91
21000060,DAL,A,240,102,2,2,11,3,1,4,2,11/3/2010,84,99
