Season,Home,Away,Date,Attendance,Capacity
2010,BOS,MIA,2010-10-26,18624,18624
2010,LAL,HOU,2010-10-26,18997,18997
2010,POR,PHX,2010-10-26,20603,21538
2010,NOP,MIL,2010-10-27,15039,16867
2010,BRK,DET,2010-10-27,15178,20049
2010,MIN,SAC,2010-10-27,17067,19356
2010,MEM,ATL,2010-10-27,17519,18119
2010,OKC,CHI,2010-10-27,18203,18203
2010,LAC,POR,2010-10-27,18382,19060
2010,GSW,HOU,2010-10-27,18428,19596
2010,SAS,IND,2010-10-27,18581,18418
2010,TOR,NYK,2010-10-27,18722,19800
2010,DEN,UTA,2010-10-27,19155,19155
2010,DAL,CHA,2010-10-27,19440,19200
2010,PHI,MIA,2010-10-27,20389,20328
2010,CLE,BOS,2010-10-27,20562,20562
2010,ORL,WAS,2010-10-28,18918,18846
2010,UTA,PHX,2010-10-28,19911,19911
2010,PHI,ATL,2010-10-29,10960,20328
2010,NOP,DEN,2010-10-29,12474,16867
2010,BRK,SAC,2010-10-29,13482,20049
2010,TOR,CLE,2010-10-29,15711,19800
2010,MIN,MIL,2010-10-29,17197,19356
2010,GSW,LAC,2010-10-29,17408,19596
2010,CHA,IND,2010-10-29,18351,19077
2010,PHX,LAL,2010-10-29,18422,19023
2010,BOS,NYK,2010-10-29,18624,18624
2010,MIA,ORL,2010-10-29,19600,19600
2010,DAL,MEM,2010-10-29,20060,19200
2010,DET,OKC,2010-10-29,22076,19971
2010,MEM,MIN,2010-10-30,12753,18119
2010,MIL,CHA,2010-10-30,16519,18717
2010,HOU,DEN,2010-10-30,18161,18055
2010,IND,PHI,2010-10-30,18165,18165
2010,SAS,NOP,2010-10-30,18581,18418
2010,ATL,WAS,2010-10-30,18729,18047
2010,NYK,POR,2010-10-30,19763,19812
2010,CLE,SAC,2010-10-30,20562,20562
2010,CHI,DET,2010-10-30,21038,20917
2010,LAC,DAL,2010-10-31,13718,19060
2010,BRK,MIA,2010-10-31,17086,20049
2010,OKC,UTA,2010-10-31,18203,18203
2010,LAL,GSW,2010-10-31,18997,18997
2010,LAC,SAS,2010-11-1,14964,19060
2010,SAC,TOR,2010-11-1,17317,17317
2010,CHI,POR,2010-11-1,21057,20917
2010,MIL,POR,2010-11-2,13087,18717
2010,DET,BOS,2010-11-2,15313,19971
2010,WAS,PHI,2010-11-2,17803,20356
2010,LAL,MEM,2010-11-2,18997,18997
2010,MIA,MIN,2010-11-2,19600,19600
2010,CLE,ATL,2010-11-2,20562,20562
2010,BRK,CHA,2010-11-3,11778,20049
2010,PHI,IND,2010-11-3,12277,20328
2010,ATL,DET,2010-11-3,13003,18047
2010,HOU,NOP,2010-11-3,13484,18055
2010,DEN,DAL,2010-11-3,14159,19155
2010,SAC,LAL,2010-11-3,16113,17317
2010,GSW,MEM,2010-11-3,16607,19596
2010,PHX,SAS,2010-11-3,17060,19023
2010,UTA,TOR,2010-11-3,17802,19911
2010,LAC,OKC,2010-11-3,18414,19060
2010,BOS,MIL,2010-11-3,18624,18624
2010,ORL,MIN,2010-11-3,18846,18846
2010,POR,OKC,2010-11-4,20611,21538
2010,CHI,NYK,2010-11-4,21203,20917
2010,PHI,CLE,2010-11-5,10589,20328
2010,DET,CHA,2010-11-5,13291,19971
2010,IND,MIL,2010-11-5,14115,18165
2010,DEN,LAC,2010-11-5,15559,19155
2010,PHX,MEM,2010-11-5,16470,19023
2010,MIN,ATL,2010-11-5,17222,19356
2010,GSW,UTA,2010-11-5,17902,19596
2010,NOP,MIA,2010-11-5,17988,16867
2010,BOS,CHI,2010-11-5,18624,18624
2010,ORL,BRK,2010-11-5,18846,18846
2010,LAL,TOR,2010-11-5,18997,18997
2010,NYK,WAS,2010-11-5,19763,19812
2010,SAC,MEM,2010-11-6,14085,17317
2010,WAS,CLE,2010-11-6,14442,20356
2010,MIL,NOP,2010-11-6,16731,18717
2010,SAS,HOU,2010-11-6,17740,18418
2010,CHA,ORL,2010-11-6,18136,19077
2010,MIA,BRK,2010-11-6,19600,19600
2010,UTA,LAC,2010-11-6,19911,19911
2010,DAL,DEN,2010-11-6,19948,19200
2010,POR,TOR,2010-11-6,20363,21538
2010,DET,GSW,2010-11-7,12813,19971
2010,ATL,PHX,2010-11-7,13395,18047
2010,HOU,MIN,2010-11-7,15058,18055
2010,OKC,BOS,2010-11-7,18203,18203
2010,NYK,PHI,2010-11-7,18735,19812
2010,LAL,POR,2010-11-7,18997,18997
2010,MEM,PHX,2010-11-8,10786,18119
2010,TOR,GSW,2010-11-8,14127,19800
2010,CHA,SAS,2010-11-8,14152,19077
2010,ORL,ATL,2010-11-8,18846,18846
2010,DAL,BOS,2010-11-8,20194,19200
2010,CHI,DEN,2010-11-8,21355,20917
2010,BRK,CLE,2010-11-9,10188,20049
2010,IND,DEN,2010-11-9,11122,18165
2010,NOP,LAC,2010-11-9,12479,16867
2010,MIL,NYK,2010-11-9,13286,18717
2010,LAL,MIN,2010-11-9,18997,18997
2010,MIA,UTA,2010-11-9,19600,19600
2010,POR,DET,2010-11-9,20556,21538
2010,MEM,DAL,2010-11-10,10767,18119
2010,ATL,MIL,2010-11-10,11211,18047
2010,SAC,MIN,2010-11-10,12433,17317
2010,WAS,HOU,2010-11-10,13665,20356
2010,TOR,CHA,2010-11-10,14309,19800
2010,SAS,LAC,2010-11-10,17309,18418
2010,OKC,PHI,2010-11-10,18203,18203
2010,ORL,UTA,2010-11-10,18846,18846
2010,NYK,GSW,2010-11-10,19763,19812
2010,CLE,BRK,2010-11-10,20562,20562
2010,DEN,LAL,2010-11-11,19155,19155
2010,MIA,BOS,2010-11-11,19650,19600
2010,CHI,GSW,2010-11-11,21140,20917
2010,IND,HOU,2010-11-12,14414,18165
2010,WAS,CHA,2010-11-12,14855,20356
2010,MIN,NYK,2010-11-12,15232,19356
2010,LAC,DET,2010-11-12,16960,19060
2010,ATL,UTA,2010-11-12,17069,18047
2010,PHX,SAC,2010-11-12,18029,19023
2010,OKC,POR,2010-11-12,18203,18203
2010,ORL,TOR,2010-11-12,18846,18846
2010,DAL,PHI,2010-11-12,19989,19200
2010,NOP,POR,2010-11-13,14706,16867
2010,BRK,ORL,2010-11-13,15086,20049
2010,CHA,UTA,2010-11-13,15486,19077
2010,MIL,GSW,2010-11-13,17049,18717
2010,SAS,PHI,2010-11-13,17627,18418
2010,MEM,BOS,2010-11-13,18119,18119
2010,MIA,TOR,2010-11-13,19600,19600
2010,CLE,IND,2010-11-13,20562,20562
2010,CHI,WAS,2010-11-13,21610,20917
2010,ATL,MIN,2010-11-14,12027,18047
2010,SAC,DET,2010-11-14,12377,17317
2010,OKC,SAS,2010-11-14,18203,18203
2010,LAL,PHX,2010-11-14,18997,18997
2010,NYK,HOU,2010-11-14,19763,19812
2010,CHA,MIN,2010-11-15,11211,19077
2010,LAC,BRK,2010-11-15,14516,19060
2010,PHX,DEN,2010-11-15,17744,19023
2010,ORL,MEM,2010-11-15,18846,18846
2010,GSW,DET,2010-11-15,19123,19596
2010,DAL,NOP,2010-11-15,19712,19200
2010,UTA,OKC,2010-11-15,19911,19911
2010,MEM,POR,2010-11-16,10827,18119
2010,IND,ATL,2010-11-16,11133,18165
2010,WAS,TOR,2010-11-16,11513,20356
2010,DEN,NYK,2010-11-16,15190,19155
2010,MIL,LAL,2010-11-16,18059,18717
2010,HOU,CHI,2010-11-16,18158,18055
2010,CLE,PHI,2010-11-16,20562,20562
2010,PHI,TOR,2010-11-17,12164,20328
2010,SAC,NYK,2010-11-17,12817,17317
2010,MIN,LAC,2010-11-17,12909,19356
2010,NOP,DAL,2010-11-17,13828,16867
2010,OKC,HOU,2010-11-17,17509,18203
2010,SAS,CHI,2010-11-17,18581,18418
2010,BOS,WAS,2010-11-17,18624,18624
2010,UTA,BRK,2010-11-17,19314,19911
2010,MIA,PHX,2010-11-17,19600,19600
2010,DET,LAL,2010-11-17,20284,19971
2010,IND,LAC,2010-11-18,12459,18165
2010,ORL,PHX,2010-11-18,18846,18846
2010,POR,DEN,2010-11-18,20532,21538
2010,SAC,BRK,2010-11-19,11766,17317
2010,WAS,MEM,2010-11-19,13504,20356
2010,PHI,MIL,2010-11-19,14557,20328
2010,NOP,CLE,2010-11-19,14755,16867
2010,TOR,HOU,2010-11-19,17369,19800
2010,BOS,OKC,2010-11-19,18624,18624
2010,UTA,SAS,2010-11-19,19332,19911
2010,MIN,LAL,2010-11-19,19356,19356
2010,MIA,CHA,2010-11-19,19600,19600
2010,GSW,NYK,2010-11-19,19808,19596
2010,DAL,CHI,2010-11-19,20133,19200
2010,ATL,DAL,2010-11-20,14143,18047
2010,IND,ORL,2010-11-20,14583,18165
2010,DEN,BRK,2010-11-20,16396,19155
2010,CHA,PHX,2010-11-20,16428,19077
2010,MIL,OKC,2010-11-20,16975,18717
2010,SAS,CLE,2010-11-20,16982,18418
2010,MEM,MIA,2010-11-20,18119,18119
2010,LAC,NYK,2010-11-20,18325,19060
2010,POR,UTA,2010-11-20,20533,21538
2010,SAC,NOP,2010-11-21,12003,17317
2010,DET,WAS,2010-11-21,13241,19971
2010,TOR,BOS,2010-11-21,17707,19800
2010,LAL,GSW,2010-11-21,18997,18997
2010,ATL,BOS,2010-11-22,14476,18047
2010,HOU,PHX,2010-11-22,15080,18055
2010,SAS,ORL,2010-11-22,17627,18418
2010,OKC,MIN,2010-11-22,17653,18203
2010,LAC,NOP,2010-11-22,17787,19060
2010,GSW,DEN,2010-11-22,18023,19596
2010,UTA,SAC,2010-11-22,18698,19911
2010,MIA,IND,2010-11-22,19600,19600
2010,IND,CLE,2010-11-23,12629,18165
2010,BRK,ATL,2010-11-23,13010,20049
2010,WAS,PHI,2010-11-23,16197,20356
2010,LAL,CHI,2010-11-23,18997,18997
2010,DAL,DET,2010-11-23,19734,19200
2010,NYK,CHA,2010-11-23,19763,19812
2010,MEM,DET,2010-11-24,11283,18119
2010,MIN,SAS,2010-11-24,13117,19356
2010,HOU,GSW,2010-11-24,13847,18055
2010,TOR,PHI,2010-11-24,15012,19800
2010,CHA,NYK,2010-11-24,15588,19077
2010,OKC,DAL,2010-11-24,18203,18203
2010,PHX,CHI,2010-11-24,18422,19023
2010,BOS,BRK,2010-11-24,18624,18624
2010,ORL,MIA,2010-11-24,18936,18846
