National_Gm_Num,Network,Date,Start Time,End Time,Duration,Away Team,Home Team,National Rating,Average Viewers (000),Average Households (000)
1,TNT,2016-10-25,7:33 PM,10:12 PM,159,NYK,Cleveland,2.2,2872,2044
2,TNT,2016-10-25,10:12 PM,12:56 AM,164,SAS,Golden State,2.6,3483,2428
3,ESPN,2016-10-26,8:04 PM,10:42 PM,158,OKC,Philadelphia,1.4,1583,1224
4,ESPN,2016-10-26,10:42 PM,1:12 AM,150,HOU,L.A. Lakers,1.7,2002,1518
5,TNT,2016-10-27,8:13 PM,10:49 PM,156,BOS,Chicago,1.6,1961,1430
6,TNT,2016-10-27,10:49 PM,1:44 AM,175,LAC,Portland,1.4,1685,1256
7,ESPN,2016-10-28,7:00 PM,9:37 PM,157,CLE,Toronto,1.1,1410,1015
8,ESPN,2016-10-28,9:37 PM,12:11 AM,154,GSW,New Orleans,1.5,1875,1340
9,NBA TV,2016-10-29,8:00 PM,10:37 PM,157,NOP,San Antonio,0.3,219,161
10,NBA TV,2016-10-29,10:37 PM,1:25 AM,168,MIN,Sacramento,0.36,260,192
11,NBA TV,2016-10-30,8:00 PM,10:48 PM,168,WAS,Memphis,0.12,82,64
12,NBA TV,2016-10-31,7:30 PM,9:46 PM,136,CHI,Brooklyn,0.28,176,151
13,NBA TV,2016-11-1,6:00 PM,8:43 PM,163,HOU,Cleveland,0.59,400,317
14,NBA TV,2016-11-1,10:04 PM,12:27 AM,143,GSW,Portland,0.98,692,525
15,ESPN,2016-11-2,8:04 PM,10:38 PM,154,CHI,Boston,0.7,811,647
16,ESPN,2016-11-2,10:38 PM,1:08 AM,150,OKC,L.A. Clippers,0.8,947,701
17,TNT,2016-11-3,8:14 PM,10:50 PM,156,BOS,Cleveland,1.7,2277,1601
18,TNT,2016-11-3,10:50 PM,1:19 AM,149,OKC,Golden State,2.9,3769,2657
19,ESPN,2016-11-4,8:05 PM,10:36 PM,151,NYK,Chicago,1.7,1999,1499
20,ESPN,2016-11-4,10:36 PM,1:03 AM,147,GSW,L.A. Lakers,2,2496,1819
21,NBA TV,2016-11-5,8:30 PM,11:05 PM,155,LAC,San Antonio,0.34,270,184
