GM,DAY,DATE,ET,LOCAL,AWAY,HOME,AWAY TV,DUR,HH RTG,HH SHR,HH IMP,P2+ IMP,HOME TV,DUR,HH RTG,HH SHR,HH IMP,P2+ IMP,NAT TV,CN TV
1,Tue,10/25/2016,8:00:00 PM,8:00:00 PM,NYK,CLE,,,,,,,,,,,,,TNT,
2,Tue,10/25/2016,10:00:00 PM,7:00:00 PM,UTA,POR,ROOT-RM,150,3.13,5.5,29,,KGW,150,8.6,14,99,142,,
3,Tue,10/25/2016,10:30:00 PM,7:30:00 PM,SAS,GSW,,,,,,,,,,,,,TNT,
4,Wed,10/26/2016,7:00:00 PM,7:00:00 PM,MIA,ORL,FS-SUN,165,4.8,8,81,110,FSFL,165,1.4,2,21,32,,
5,Wed,10/26/2016,7:00:00 PM,7:00:00 PM,DAL,IND,FSSW-DAL,180,1.4,3,37,40,FSI,180,4.4,7,48,,,
6,Wed,10/26/2016,7:30:00 PM,7:30:00 PM,BRK,BOS,YES,150,0.6,1,45,58,CSN-NE,150,2.8,5,68,91,,
7,Wed,10/26/2016,7:30:00 PM,7:30:00 PM,DET,TOR,FSD,150,1.47,2,27,34,TSN,,,,,,,TSN
8,Wed,10/26/2016,8:00:00 PM,7:00:00 PM,CHA,MIL,FSSE-CHA,165,0.836363636,1.454545455,9.909090909,16.72727273,FSNWI,165,3.1,5,28,,,
9,Wed,10/26/2016,8:00:00 PM,7:00:00 PM,MIN,MEM,FSNN-MIN,165,3.1,5,53,66,FSSE-MEM,165,3.8,6,24,,,
10,Wed,10/26/2016,8:00:00 PM,7:00:00 PM,DEN,NOP,ASE,165,0.4,1,7,8,FSNO,150,1.58,2.2,10.2,,,
11,Wed,10/26/2016,8:00:00 PM,8:00:00 PM,OKC,PHI,FSOK,165,3.763636364,5.909090909,27.18181818,,CSN-P,165,2.8,4,82,117,ESPN,
12,Wed,10/26/2016,10:00:00 PM,7:00:00 PM,SAC,PHX,CSN-S,150,2,3,28,38,FSA,150,1.3,2,26,36,,
13,Wed,10/26/2016,10:30:00 PM,7:30:00 PM,HOU,LAL,,,,,,,,,,,,,ESPN,
14,Thu,10/27/2016,7:30:00 PM,7:30:00 PM,WAS,ATL,CSN-W,150,1.3,2,33,47,FSSE-ATL,150,1.9,3,47,64,,
15,Thu,10/27/2016,8:00:00 PM,7:00:00 PM,BOS,CHI,,,,,,,,,,,,,TNT,
16,Thu,10/27/2016,10:30:00 PM,7:30:00 PM,SAS,SAC,FSSW-SA,165,5.2,11,49,,CSN-S,165,4,7,55,90,,
17,Thu,10/27/2016,10:30:00 PM,7:30:00 PM,LAC,POR,,,,,,,,,,,,,TNT,
18,Fri,10/28/2016,7:00:00 PM,7:00:00 PM,CLE,TOR,FSO,165,2.8,5,42,63,SN1,,,,,,ESPN,SN1
