,GM,DAY,DATE,ET,LOCAL,AWAY,HOME,AWAY.TV,DUR,HH.RTG,HH.SHR,HH.IMP,P2..IMP,HOME.TV,DUR.1,HH.RTG.1,HH.SHR.1,HH.IMP.1,P2..IMP.1,NAT.TV,CN.TV
3695,1,Tue,10/29/2013,7:00:00 PM,7:00:00 PM,ORL,IND,FSFL,165,1.6,3,25,44,FSI,150,4.8,8,53,NA,,
3696,2,Tue,10/29/2013,8:00:00 PM,8:00:00 PM,CHI,MIA,,NA,,NA,NA,NA,,NA,,,,,TNT,
3697,3,Tue,10/29/2013,10:30:00 PM,7:30:00 PM,LAC,LAL,,NA,,NA,NA,NA,,NA,,,,,TNT,
3698,4,Wed,10/30/2013,7:00:00 PM,7:00:00 PM,BRK,CLE,YES,150,1.6,3,118,158,FSO,150,6.8,11,101,147,NBA TV,
3699,5,Wed,10/30/2013,7:00:00 PM,7:00:00 PM,MIA,PHI,SunSpM,150,7.9,13,131,187,CSN-P,150,2.1,3,64,84,,
3700,6,Wed,10/30/2013,7:00:00 PM,7:00:00 PM,BOS,TOR,CSN-NE,150,0.7,1,18,21,TSN2,NA,,,,,,TSN2
3701,7,Wed,10/30/2013,7:30:00 PM,7:30:00 PM,WAS,DET,CSN-W,150,1.7,3,40,53,FSD,150,5.2,8,96,131,,
3702,8,Wed,10/30/2013,7:30:00 PM,7:30:00 PM,MIL,NYK,FSNWI,150,1,2,9,NA,MSG,150,3.3,5,248,312,,
3703,9,Wed,10/30/2013,8:00:00 PM,7:00:00 PM,CHA,HOU,SSO-CHA,150,1.2,2.2,13.9,26,CSN-H,150,2.5,4,56,99,,
3704,10,Wed,10/30/2013,8:00:00 PM,7:00:00 PM,ORL,MIN,FSFL,150,1.5,2,23,34,FSNN-MIN,150,4.4,8,77,91,,
3705,11,Wed,10/30/2013,8:00:00 PM,7:00:00 PM,IND,NOP,FSI,150,3.4,5,38,NA,FSNO,150,0.75,1,4.6,NA,,
3706,12,Wed,10/30/2013,8:30:00 PM,7:30:00 PM,ATL,DAL,FSS-ATL,150,1.4,2,33,44,FSSW-DAL,150,3,5,79,90,,
3707,13,Wed,10/30/2013,8:30:00 PM,7:30:00 PM,MEM,SAS,SSO-MEM,150,2.3,3,15,NA,KENS,150,13.2,21,120,NA,,
3708,14,Wed,10/30/2013,9:00:00 PM,7:00:00 PM,OKC,UTA,FSOK,150,9.7,14,71,NA,ROOT,150,4.8,9,44,NA,,
3709,15,Wed,10/30/2013,10:00:00 PM,7:00:00 PM,POR,PHX,KGW,150,5.8,10,69,100,FSA,150,2,3,38,55,,
3710,16,Wed,10/30/2013,10:00:00 PM,7:00:00 PM,DEN,SAC,ASE,150,3,6,47,58,KXTV,150,7.4,12,102,149,,
3711,17,Wed,10/30/2013,10:30:00 PM,7:30:00 PM,LAL,GSW,TWC SN/TWC D,150,4.2,7,240,331,CSN-BA,150,4.4,8,110,166,NBA TV,
3712,18,Thu,10/31/2013,8:00:00 PM,7:00:00 PM,NYK,CHI,,NA,,NA,NA,NA,,NA,,,,,TNT,
3713,19,Thu,10/31/2013,10:30:00 PM,7:30:00 PM,GSW,LAC,,NA,,NA,NA,NA,,NA,,,,,TNT,
3714,20,Fri,11/1/2013,7:00:00 PM,7:00:00 PM,CLE,CHA,FSO,150,4.7,9,70,91,SSO-CHA,165,1.1,2,13,18,,
3715,21,Fri,11/1/2013,7:00:00 PM,7:00:00 PM,NOP,ORL,FSNO,150,2.1,3,13,NA,FSFL,150,0.7,1,10,9,,
3716,22,Fri,11/1/2013,7:00:00 PM,7:00:00 PM,PHI,WAS,TCN-P,165,1.1,2,33,46,CSN-W,150,1.5,3,36,46,,
3717,23,Fri,11/1/2013,7:30:00 PM,7:30:00 PM,TOR,ATL,SNET1,NA,,NA,NA,NA,FSS-ATL,150,1.1,2,26,31,,SNET1
3718,24,Fri,11/1/2013,7:30:00 PM,7:30:00 PM,MIL,BOS,FSNWI,165,1.1,2,10,NA,CSN-NE,150,3.3,6,80,114,,
3719,25,Fri,11/1/2013,8:00:00 PM,7:00:00 PM,DAL,HOU,FSSW-DAL,165,2.6,5,69,82,CSN-H,165,2,4,46,65,,
3720,26,Fri,11/1/2013,8:00:00 PM,7:00:00 PM,DET,MEM,FSD,150,4,7,74,112,SSO-MEM,180,3.7,6,25,NA,,
3721,27,Fri,11/1/2013,8:00:00 PM,7:00:00 PM,OKC,MIN,FSOK,150,6.4,10,47,NA,FSNN-MIN,150,2.8,6,49,64,,
3722,28,Fri,11/1/2013,8:00:00 PM,8:00:00 PM,MIA,BRK,SunSpM,195,5,9,83,119,YES,195,1.8,3,133,168,ESPN,
3723,29,Fri,11/1/2013,9:00:00 PM,7:00:00 PM,POR,DEN,CSN-POR,150,1.9,4,23,38,ASE,165,2.4,5,37,41,,
3724,30,Fri,11/1/2013,10:00:00 PM,7:00:00 PM,UTA,PHX,ROOT,150,4.5,9,42,NA,FSA,150,2,4,38,62,,
3725,31,Fri,11/1/2013,10:00:00 PM,7:00:00 PM,LAC,SAC,FSNP,165,1.4,3,78,102,CSN-S,180,2.6,5,36,48,,
3726,32,Fri,11/1/2013,10:30:00 PM,7:30:00 PM,SAS,LAL,KENS,165,8.8,19,79,NA,TWC SN/TWC D,165,2.3,4,130,209,ESPN,
3727,33,Sat,11/2/2013,7:00:00 PM,7:00:00 PM,CLE,IND,FSO,150,3.5,6,52,92,FSI,150,3.1,5,35,NA,,
3728,34,Sat,11/2/2013,7:30:00 PM,7:30:00 PM,CHI,PHI,WGN,135,8.5,16,301,444,CSN-P,135,1.4,2,42,63,NBA TV,
3729,35,Sat,11/2/2013,8:00:00 PM,7:00:00 PM,CHA,NOP,SSO-CHA,150,1.4,3,9,12,FSNO,150,1.9,3,12,NA,,
3730,36,Sat,11/2/2013,8:30:00 PM,7:30:00 PM,MEM,DAL,SSO-MEM,165,2.6,4,18,NA,FSSW-DAL,165,1.8,3,48,71,,
3731,37,Sat,11/2/2013,8:30:00 PM,7:30:00 PM,TOR,MIL,TSN,NA,,NA,NA,NA,FSNWI,150,1.3,2,12,NA,,TSN
3732,38,Sat,11/2/2013,9:00:00 PM,7:00:00 PM,HOU,UTA,CSN-H,165,1,2,24,36,ROOT,150,3.8,8,35,NA,,
3733,39,Sat,11/2/2013,10:00:00 PM,7:00:00 PM,SAS,POR,FSSW-SA,150,4.7,9,43,NA,KGW,150,6.1,12,72,103,,
3734,40,Sat,11/2/2013,10:30:00 PM,7:30:00 PM,SAC,GSW,CSN-S,165,2.6,5,36,50,CSN-BA,135,3,7,76,102,,
3735,41,Sun,11/3/2013,6:00:00 PM,6:00:00 PM,BOS,DET,CSN-NE,150,0.7,1,18,33,FSD,150,3.1,5,57,91,,
3736,42,Sun,11/3/2013,6:00:00 PM,6:00:00 PM,WAS,MIA,CSN-W,150,1.3,2,31,40,SunSpM,165,5.4,9,89,137,,
3737,43,Sun,11/3/2013,6:00:00 PM,6:00:00 PM,BRK,ORL,YES,135,0.8,1,56,106,FSFL,150,0.7,1,11,18,,
3738,44,Sun,11/3/2013,7:00:00 PM,6:00:00 PM,PHX,OKC,FSA,150,2,3,37,53,FSOK,165,9.8,14,72,NA,NBA TV,
3739,45,Sun,11/3/2013,7:30:00 PM,7:30:00 PM,MIN,NYK,FSNN-MIN+,150,2.8,4,49,52,MSG,150,2.2,3,167,258,,
3740,46,Sun,11/3/2013,9:30:00 PM,6:30:00 PM,ATL,LAL,FSS-ATL,150,0.4,1,9,12,TWC SN/TWC D,150,3.7,6,210,364,,
