"","X","GM","DAY","DATE","ET","LOCAL","AWAY","HOME","AWAY.TV","DUR","HH.RTG","HH.SHR","HH.IMP","P2..IMP","HOME.TV","DUR.1","HH.RTG.1","HH.SHR.1","HH.IMP.1","P2..IMP.1","NAT.TV","CN.TV","Game_id","National.Rating","Average.Viewers","Average.Households","ratings"
"1",3695,1,"Tue","2013-10-29","7:00:00 PM","7:00:00 PM","ORL","IND","FSFL",165,"1.6",3,25,44,"FSI",150,"4.8","8","53",NA,"","","21300001",0,0,0,0
"2",3696,2,"Tue","2013-10-29","8:00:00 PM","8:00:00 PM","CHI","MIA","",NA,"",NA,NA,NA,"",NA,"","","","","TNT","","21300002",4,5373,3874,0
"3",3697,3,"Tue","2013-10-29","10:30:00 PM","7:30:00 PM","LAC","LAL","",NA,"",NA,NA,NA,"",NA,"","","","","TNT","","21300003",2.8,3571,2731,0
"4",3698,4,"Wed","2013-10-30","7:00:00 PM","7:00:00 PM","BRK","CLE","YES",150,"1.6",3,118,158,"FSO",150,"6.8","11","101","147","NBA TV","","21300004",0.55,408,323,0
"5",3699,5,"Wed","2013-10-30","7:00:00 PM","7:00:00 PM","MIA","PHI","SunSpM",150,"7.9",13,131,187,"CSN-P",150,"2.1","3","64","84","","","21300005",0,0,0,0
"6",3700,6,"Wed","2013-10-30","7:00:00 PM","7:00:00 PM","BOS","TOR","CSN-NE",150,"0.7",1,18,21,"TSN2",NA,"","","","","","TSN2","21300006",0,0,0,0
"7",3701,7,"Wed","2013-10-30","7:30:00 PM","7:30:00 PM","WAS","DET","CSN-W",150,"1.7",3,40,53,"FSD",150,"5.2","8","96","131","","","21300007",0,0,0,0
"8",3702,8,"Wed","2013-10-30","7:30:00 PM","7:30:00 PM","MIL","NYK","FSNWI",150,"1",2,9,NA,"MSG",150,"3.3","5","248","312","","","21300008",0,0,0,0
"9",3703,9,"Wed","2013-10-30","8:00:00 PM","7:00:00 PM","CHA","HOU","SSO-CHA",150,"1.2",2.2,13.9,26,"CSN-H",150,"2.5","4","56","99","","","21300009",0,0,0,0
"10",3704,10,"Wed","2013-10-30","8:00:00 PM","7:00:00 PM","ORL","MIN","FSFL",150,"1.5",2,23,34,"FSNN-MIN",150,"4.4","8","77","91","","","21300010",0,0,0,0
"11",3705,11,"Wed","2013-10-30","8:00:00 PM","7:00:00 PM","IND","NOP","FSI",150,"3.4",5,38,NA,"FSNO",150,"0.75","1","4.6",NA,"","","21300011",0,0,0,0
"12",3706,12,"Wed","2013-10-30","8:30:00 PM","7:30:00 PM","ATL","DAL","FSS-ATL",150,"1.4",2,33,44,"FSSW-DAL",150,"3","5","79","90","","","21300012",0,0,0,0
"13",3707,13,"Wed","2013-10-30","8:30:00 PM","7:30:00 PM","MEM","SAS","SSO-MEM",150,"2.3",3,15,NA,"KENS",150,"13.2","21","120",NA,"","","21300013",0,0,0,0
"14",3708,14,"Wed","2013-10-30","9:00:00 PM","7:00:00 PM","OKC","UTA","FSOK",150,"9.7",14,71,NA,"ROOT",150,"4.8","9","44",NA,"","","21300014",0,0,0,0
"15",3709,15,"Wed","2013-10-30","10:00:00 PM","7:00:00 PM","POR","PHX","KGW",150,"5.8",10,69,100,"FSA",150,"2","3","38","55","","","21300015",0,0,0,0
"16",3710,16,"Wed","2013-10-30","10:00:00 PM","7:00:00 PM","DEN","SAC","ASE",150,"3",6,47,58,"KXTV",150,"7.4","12","102","149","","","21300016",0,0,0,0
"17",3711,17,"Wed","2013-10-30","10:30:00 PM","7:30:00 PM","LAL","GSW","TWC SN/TWC D",150,"4.2",7,240,331,"CSN-BA",150,"4.4","8","110","166","NBA TV","","21300017",0.76,595,447,0
"18",3712,18,"Thu","2013-10-31","8:00:00 PM","7:00:00 PM","NYK","CHI","",NA,"",NA,NA,NA,"",NA,"","","","","TNT","","21300018",2.1,2643,2045,0
