Date,Team,Metric,Value
2015-10-1,POR,UNQ,16437
2015-10-2,POR,UNQ,24339
2015-10-3,POR,UNQ,28026
2015-10-4,POR,UNQ,20034
2015-10-5,POR,UNQ,28871
2015-10-6,POR,UNQ,25613
2015-10-7,POR,UNQ,25459
2015-10-8,POR,UNQ,27498
2015-10-9,POR,UNQ,26018
2015-10-10,POR,UNQ,16129
2015-10-11,POR,UNQ,13370
2015-10-12,POR,UNQ,18127
2015-10-13,POR,UNQ,40116
2015-10-14,POR,UNQ,16220
2015-10-15,POR,UNQ,15348
2015-10-16,POR,UNQ,15232
2015-10-17,POR,UNQ,12598
2015-10-18,POR,UNQ,17603
2015-10-19,POR,UNQ,28960
2015-10-20,POR,UNQ,20701
2015-10-21,POR,UNQ,17439
2015-10-22,POR,UNQ,19535
2015-10-23,POR,UNQ,29630
2015-10-24,POR,UNQ,18072
2015-10-25,POR,UNQ,20193
2015-10-26,POR,UNQ,20614
2015-10-27,POR,UNQ,35877
2015-10-28,POR,UNQ,41546
2015-10-29,POR,UNQ,54738
2015-10-30,POR,UNQ,32085
2015-10-31,POR,UNQ,29106
2015-11-1,POR,UNQ,30553
2015-11-2,POR,UNQ,25461
2015-11-3,POR,UNQ,43103
2015-11-4,POR,UNQ,32340
2015-11-5,POR,UNQ,54460
2015-11-6,POR,UNQ,52971
2015-11-7,POR,UNQ,26294
2015-11-8,POR,UNQ,28135
2015-11-9,POR,UNQ,38239
2015-11-10,POR,UNQ,28851
2015-11-11,POR,UNQ,46633
2015-11-12,POR,UNQ,37596
2015-11-13,POR,UNQ,26465
2015-11-14,POR,UNQ,14280
2015-11-15,POR,UNQ,15271
2015-11-16,POR,UNQ,24081
2015-11-17,POR,UNQ,16516
2015-11-18,POR,UNQ,21193
2015-11-19,POR,UNQ,13571
2015-11-20,POR,UNQ,17680
2015-11-21,POR,UNQ,23432
2015-11-22,POR,UNQ,20893
2015-11-23,POR,UNQ,34239
2015-11-24,POR,UNQ,31275
2015-11-25,POR,UNQ,47973
2015-11-26,POR,UNQ,19759
2015-11-27,POR,UNQ,19022
2015-11-28,POR,UNQ,23158
2015-11-29,POR,UNQ,50210
2015-11-30,POR,UNQ,31560
2015-12-1,POR,UNQ,69253
2015-12-2,POR,UNQ,52589
2015-12-3,POR,UNQ,28905
2015-12-4,POR,UNQ,28002
2015-12-5,POR,UNQ,16492
2015-12-6,POR,UNQ,18538
2015-12-7,POR,UNQ,19640
2015-12-8,POR,UNQ,17276
2015-12-9,POR,UNQ,12767
2015-12-10,POR,UNQ,13022
2015-12-11,POR,UNQ,14397
2015-12-12,POR,UNQ,33434
2015-12-13,POR,UNQ,32384
2015-12-14,POR,UNQ,24381
2015-12-15,POR,UNQ,22775
2015-12-16,POR,UNQ,18533
2015-12-17,POR,UNQ,13079
2015-12-18,POR,UNQ,14888
2015-12-19,POR,UNQ,15072
2015-12-20,POR,UNQ,16068
2015-12-21,POR,UNQ,22652
2015-12-22,POR,UNQ,19003
2015-12-23,POR,UNQ,22390
2015-12-24,POR,UNQ,12638
2015-12-25,POR,UNQ,17063
2015-12-26,POR,UNQ,21117
2015-12-27,POR,UNQ,64374
2015-12-28,POR,UNQ,25705
2015-12-29,POR,UNQ,13995
2015-12-30,POR,UNQ,24447
2015-12-31,POR,UNQ,35675
2016-1-1,POR,UNQ,22530
2016-1-2,POR,UNQ,13046
2016-1-3,POR,UNQ,17096
2016-1-4,POR,UNQ,71426
2016-1-5,POR,UNQ,25110
2016-1-6,POR,UNQ,32183
2016-1-7,POR,UNQ,54583
2016-1-8,POR,UNQ,25707
2016-1-9,POR,UNQ,59269
2016-1-10,POR,UNQ,25178
2016-1-11,POR,UNQ,41904
2016-1-12,POR,UNQ,24269
2016-1-13,POR,UNQ,31948
2016-1-14,POR,UNQ,46195
2016-1-15,POR,UNQ,29851
2016-1-16,POR,UNQ,41424
2016-1-17,POR,UNQ,12250
2016-1-18,POR,UNQ,25917
2016-1-19,POR,UNQ,38814
2016-1-20,POR,UNQ,32063
2016-1-21,POR,UNQ,25294
2016-1-22,POR,UNQ,19651
2016-1-23,POR,UNQ,25398
2016-1-24,POR,UNQ,74571
2016-1-25,POR,UNQ,27595
2016-1-26,POR,UNQ,33232
2016-1-27,POR,UNQ,33402
2016-1-28,POR,UNQ,34338
2016-1-29,POR,UNQ,34557
2016-1-30,POR,UNQ,33069
2016-1-31,POR,UNQ,21680
2016-2-1,POR,UNQ,30125
2016-2-2,POR,UNQ,34463
2016-2-3,POR,UNQ,28006
2016-2-4,POR,UNQ,24699
2016-2-5,POR,UNQ,21668
2016-2-6,POR,UNQ,48298
2016-2-7,POR,UNQ,34736
2016-2-8,POR,UNQ,52338
2016-2-9,POR,UNQ,65853
2016-2-10,POR,UNQ,37749
2016-2-11,POR,UNQ,54165
2016-2-12,POR,UNQ,27853
2016-2-13,POR,UNQ,20100
2016-2-14,POR,UNQ,15401
2016-2-15,POR,UNQ,22107
2016-2-16,POR,UNQ,19263
2016-2-17,POR,UNQ,19064
2016-2-18,POR,UNQ,71820
2016-2-19,POR,UNQ,58321
2016-2-20,POR,UNQ,96817
2016-2-21,POR,UNQ,42020
2016-2-22,POR,UNQ,62382
2016-2-23,POR,UNQ,39565
2016-2-24,POR,UNQ,47449
2016-2-25,POR,UNQ,48292
2016-2-26,POR,UNQ,42210
2016-2-27,POR,UNQ,25302
2016-2-28,POR,UNQ,29896
2016-2-29,POR,UNQ,29226
2016-3-1,POR,UNQ,34193
2016-3-2,POR,UNQ,66609
2016-3-3,POR,UNQ,30115
2016-3-4,POR,UNQ,36121
2016-3-5,POR,UNQ,34071
2016-3-6,POR,UNQ,26922
2016-3-7,POR,UNQ,20051
2016-3-8,POR,UNQ,47957
2016-3-9,POR,UNQ,77911
2016-3-10,POR,UNQ,32187
2016-3-11,POR,UNQ,36029
2016-3-12,POR,UNQ,26318
2016-3-13,POR,UNQ,69665
2016-3-14,POR,UNQ,36668
2016-3-15,POR,UNQ,18477
2016-3-16,POR,UNQ,24337
2016-3-17,POR,UNQ,24725
2016-3-18,POR,UNQ,36374
2016-3-19,POR,UNQ,154195
2016-3-20,POR,UNQ,39862
2016-3-21,POR,UNQ,13953
2016-3-22,POR,UNQ,18130
2016-3-23,POR,UNQ,23789
2016-3-24,POR,UNQ,54462
2016-3-25,POR,UNQ,20484
2016-3-26,POR,UNQ,17788
2016-3-27,POR,UNQ,22007
2016-3-28,POR,UNQ,25048
2016-3-29,POR,UNQ,30819
2016-3-30,POR,UNQ,30156
2016-3-31,POR,UNQ,32712
2016-4-1,POR,UNQ,32011
2016-4-2,POR,UNQ,26071
2016-4-3,POR,UNQ,30037
2016-4-4,POR,UNQ,37247
2016-4-5,POR,UNQ,24215
2016-4-6,POR,UNQ,49342
2016-4-7,POR,UNQ,45524
2016-4-8,POR,UNQ,18774
2016-4-9,POR,UNQ,23026
2016-4-10,POR,UNQ,47166
2016-4-11,POR,UNQ,30181
2016-4-12,POR,UNQ,29077
2016-4-13,POR,UNQ,42414
2016-4-14,POR,UNQ,49901
2016-4-15,POR,UNQ,39262
2016-4-16,POR,UNQ,24508
2016-4-17,POR,UNQ,27816
2016-4-18,POR,UNQ,23753
2016-4-19,POR,UNQ,15223
2016-4-20,POR,UNQ,18343
2016-4-21,POR,UNQ,16132
2016-4-22,POR,UNQ,31645
2016-4-23,POR,UNQ,33650
2016-4-24,POR,UNQ,49663
2016-4-25,POR,UNQ,42762
2016-4-26,POR,UNQ,79225
2016-4-27,POR,UNQ,47581
2016-4-28,POR,UNQ,52567
2016-4-29,POR,UNQ,42666
2016-4-30,POR,UNQ,78532
2016-5-1,POR,UNQ,59782
2016-5-2,POR,UNQ,36609
2016-5-3,POR,UNQ,33093
2016-5-4,POR,UNQ,29712
2016-5-5,POR,UNQ,17326
2016-5-6,POR,UNQ,58265
2016-5-7,POR,UNQ,61491
2016-5-8,POR,UNQ,70801
2016-5-9,POR,UNQ,63399
2016-5-10,POR,UNQ,57776
2016-5-11,POR,UNQ,25680
2016-5-12,POR,UNQ,41557
2016-5-13,POR,UNQ,34995
2016-5-14,POR,UNQ,16167
2016-5-15,POR,UNQ,8846
2016-5-16,POR,UNQ,8388
2016-5-17,POR,UNQ,16780
2016-5-18,POR,UNQ,10628
2016-5-19,POR,UNQ,10627
2016-5-20,POR,UNQ,10652
2016-5-21,POR,UNQ,7571
2016-5-22,POR,UNQ,6273
2016-5-23,POR,UNQ,8473
2016-5-24,POR,UNQ,14804
2016-5-25,POR,UNQ,11152
2016-5-26,POR,UNQ,17078
2016-5-27,POR,UNQ,10339
2016-5-28,POR,UNQ,6051
2016-5-29,POR,UNQ,5021
2016-5-30,POR,UNQ,5331
2016-5-31,POR,UNQ,23291
2016-6-1,POR,UNQ,22780
2016-6-2,POR,UNQ,11935
2016-6-3,POR,UNQ,9037
2016-6-4,POR,UNQ,6303
2016-6-5,POR,UNQ,5895
2016-6-6,POR,UNQ,9099
2016-6-7,POR,UNQ,9856
2016-6-8,POR,UNQ,8220
2016-6-9,POR,UNQ,7303
2016-6-10,POR,UNQ,7257
2016-6-11,POR,UNQ,5512
2016-6-12,POR,UNQ,5581
2016-6-13,POR,UNQ,8086
2016-6-14,POR,UNQ,6538
2016-6-15,POR,UNQ,30161
2016-6-16,POR,UNQ,11295
2016-6-17,POR,UNQ,23279
2016-6-18,POR,UNQ,7864
2016-6-19,POR,UNQ,5249
2016-6-20,POR,UNQ,13223
2016-6-21,POR,UNQ,12093
2016-6-22,POR,UNQ,13803
2016-6-23,POR,UNQ,20391
2016-6-24,POR,UNQ,40625
2016-6-25,POR,UNQ,9697
2016-6-26,POR,UNQ,6757
2016-6-27,POR,UNQ,8767
2016-6-28,POR,UNQ,11381
2016-6-29,POR,UNQ,15675
2016-6-30,POR,UNQ,10708
2016-7-1,POR,UNQ,14311
2016-7-2,POR,UNQ,10034
2016-7-3,POR,UNQ,8361
2016-7-4,POR,UNQ,9758
2016-7-5,POR,UNQ,17012
2016-7-6,POR,UNQ,20886
2016-7-7,POR,UNQ,36995
2016-7-8,POR,UNQ,35231
2016-7-9,POR,UNQ,26579
2016-7-10,POR,UNQ,30945
2016-7-11,POR,UNQ,38659
2016-7-12,POR,UNQ,25600
2016-7-13,POR,UNQ,25574
2016-7-14,POR,UNQ,22220
2016-7-15,POR,UNQ,14252
2016-7-16,POR,UNQ,10145
2016-7-17,POR,UNQ,7676
2016-7-18,POR,UNQ,9787
2016-7-19,POR,UNQ,9562
2016-7-20,POR,UNQ,11203
2016-7-21,POR,UNQ,10582
2016-7-22,POR,UNQ,11849
2016-7-23,POR,UNQ,8323
2016-7-24,POR,UNQ,5508
2016-7-25,POR,UNQ,15897
2016-7-26,POR,UNQ,39011
2016-7-27,POR,UNQ,19270
2016-7-28,POR,UNQ,19767
2016-7-29,POR,UNQ,16181
2016-7-30,POR,UNQ,8674
2016-7-31,POR,UNQ,6037
2016-8-1,POR,UNQ,10709
2016-8-2,POR,UNQ,7563
2016-8-3,POR,UNQ,9808
2016-8-4,POR,UNQ,18289
2016-8-5,POR,UNQ,9462
2016-8-6,POR,UNQ,5004
2016-8-7,POR,UNQ,4289
2016-8-8,POR,UNQ,5074
2016-8-9,POR,UNQ,5908
2016-8-10,POR,UNQ,6511
2016-8-11,POR,UNQ,25635
2016-8-12,POR,UNQ,16880
2016-8-13,POR,UNQ,6147
2016-8-14,POR,UNQ,5262
2016-8-15,POR,UNQ,13709
2016-8-16,POR,UNQ,15428
2016-8-17,POR,UNQ,7666
2016-8-18,POR,UNQ,5598
2016-8-19,POR,UNQ,4654
2016-8-20,POR,UNQ,4574
2016-8-21,POR,UNQ,5136
2016-8-22,POR,UNQ,14293
2016-8-23,POR,UNQ,15995
2016-8-24,POR,UNQ,13121
2016-8-25,POR,UNQ,7172
2016-8-26,POR,UNQ,5607
2016-8-27,POR,UNQ,10762
2016-8-28,POR,UNQ,6731
2016-8-29,POR,UNQ,12487
2016-8-30,POR,UNQ,9752
2016-8-31,POR,UNQ,14055
2016-9-1,POR,UNQ,12034
2016-9-2,POR,UNQ,13083
2016-9-3,POR,UNQ,6864
2016-9-4,POR,UNQ,5466
2016-9-5,POR,UNQ,5485
2016-9-6,POR,UNQ,7114
2016-9-7,POR,UNQ,6578
2016-9-8,POR,UNQ,6666
2016-9-9,POR,UNQ,8296
2016-9-10,POR,UNQ,9582
2016-9-11,POR,UNQ,6543
2016-9-12,POR,UNQ,19082
2016-9-13,POR,UNQ,12155
2016-9-14,POR,UNQ,24101
2016-9-15,POR,UNQ,21012
2016-9-16,POR,UNQ,11830
2016-9-17,POR,UNQ,6489
2016-9-18,POR,UNQ,5763
2016-9-19,POR,UNQ,9372
2016-9-20,POR,UNQ,15781
2016-9-21,POR,UNQ,22451
2016-9-22,POR,UNQ,44247
2016-9-23,POR,UNQ,22510
2016-9-24,POR,UNQ,16687
2016-9-25,POR,UNQ,8546
2016-9-26,POR,UNQ,12491
2016-9-27,POR,UNQ,21328
2016-9-28,POR,UNQ,29311
2016-9-29,POR,UNQ,17571
2016-9-30,POR,UNQ,12414
2014-10-1,POR,UNQ,22793
2014-10-2,POR,UNQ,18445
2014-10-3,POR,UNQ,19026
2014-10-4,POR,UNQ,12933
2014-10-5,POR,UNQ,20785
2014-10-6,POR,UNQ,27055
2014-10-7,POR,UNQ,38664
2014-10-8,POR,UNQ,21902
2014-10-9,POR,UNQ,26224
2014-10-10,POR,UNQ,18383
2014-10-11,POR,UNQ,13732
2014-10-12,POR,UNQ,27304
2014-10-13,POR,UNQ,31935
2014-10-14,POR,UNQ,18156
2014-10-15,POR,UNQ,20265
2014-10-16,POR,UNQ,19265
2014-10-17,POR,UNQ,42156
2014-10-18,POR,UNQ,20018
2014-10-19,POR,UNQ,14825
2014-10-20,POR,UNQ,26979
2014-10-21,POR,UNQ,30927
2014-10-22,POR,UNQ,35589
2014-10-23,POR,UNQ,32974
2014-10-24,POR,UNQ,113114
2014-10-25,POR,UNQ,40715
2014-10-26,POR,UNQ,19301
2014-10-27,POR,UNQ,34684
2014-10-28,POR,UNQ,28830
2014-10-29,POR,UNQ,49997
2014-10-30,POR,UNQ,41268
2014-10-31,POR,UNQ,29506
2014-11-1,POR,UNQ,19262
2014-11-2,POR,UNQ,27362
2014-11-3,POR,UNQ,51310
2014-11-4,POR,UNQ,40762
2014-11-5,POR,UNQ,42768
2014-11-6,POR,UNQ,35112
2014-11-7,POR,UNQ,69981
2014-11-8,POR,UNQ,29343
2014-11-9,POR,UNQ,36067
2014-11-10,POR,UNQ,51124
2014-11-11,POR,UNQ,32913
2014-11-12,POR,UNQ,84935
2014-11-13,POR,UNQ,58691
2014-11-14,POR,UNQ,39581
2014-11-15,POR,UNQ,33277
2014-11-16,POR,UNQ,35119
2014-11-17,POR,UNQ,34367
2014-11-18,POR,UNQ,33728
2014-11-19,POR,UNQ,20923
2014-11-20,POR,UNQ,29089
2014-11-21,POR,UNQ,42715
2014-11-22,POR,UNQ,86459
2014-11-23,POR,UNQ,29654
2014-11-24,POR,UNQ,47513
2014-11-25,POR,UNQ,33477
2014-11-26,POR,UNQ,27190
2014-11-27,POR,UNQ,22370
2014-11-28,POR,UNQ,38817
2014-11-29,POR,UNQ,17578
2014-11-30,POR,UNQ,19897
2014-12-1,POR,UNQ,29446
2014-12-2,POR,UNQ,35377
2014-12-3,POR,UNQ,31173
2014-12-4,POR,UNQ,32712
2014-12-5,POR,UNQ,32860
2014-12-6,POR,UNQ,27384
2014-12-7,POR,UNQ,21739
2014-12-8,POR,UNQ,29656
2014-12-9,POR,UNQ,41142
2014-12-10,POR,UNQ,68563
2014-12-11,POR,UNQ,46483
2014-12-12,POR,UNQ,30118
2014-12-13,POR,UNQ,18767
2014-12-14,POR,UNQ,17021
2014-12-15,POR,UNQ,27890
2014-12-16,POR,UNQ,36161
2014-12-17,POR,UNQ,25170
2014-12-18,POR,UNQ,26678
2014-12-19,POR,UNQ,31226
2014-12-20,POR,UNQ,127461
2014-12-21,POR,UNQ,64651
2014-12-22,POR,UNQ,42149
2014-12-23,POR,UNQ,37195
2014-12-24,POR,UNQ,46669
2014-12-25,POR,UNQ,42369
2014-12-26,POR,UNQ,49375
2014-12-27,POR,UNQ,34642
2014-12-28,POR,UNQ,29079
2014-12-29,POR,UNQ,60357
2014-12-30,POR,UNQ,56005
2014-12-31,POR,UNQ,41887
2015-1-1,POR,UNQ,16690
2015-1-2,POR,UNQ,16017
2015-1-3,POR,UNQ,25114
2015-1-4,POR,UNQ,24236
2015-1-5,POR,UNQ,41034
2015-1-6,POR,UNQ,69860
2015-1-7,POR,UNQ,43053
2015-1-8,POR,UNQ,45462
2015-1-9,POR,UNQ,61566
2015-1-10,POR,UNQ,34910
2015-1-11,POR,UNQ,33157
2015-1-12,POR,UNQ,103995
2015-1-13,POR,UNQ,36062
2015-1-14,POR,UNQ,55096
2015-1-15,POR,UNQ,43642
2015-1-16,POR,UNQ,33071
2015-1-17,POR,UNQ,26385
2015-1-18,POR,UNQ,18218
2015-1-19,POR,UNQ,28342
2015-1-20,POR,UNQ,42771
2015-1-21,POR,UNQ,23804
2015-1-22,POR,UNQ,34464
2015-1-23,POR,UNQ,33330
2015-1-24,POR,UNQ,58277
2015-1-25,POR,UNQ,43164
2015-1-26,POR,UNQ,47577
2015-1-27,POR,UNQ,23169
2015-1-28,POR,UNQ,27595
2015-1-29,POR,UNQ,72330
2015-1-30,POR,UNQ,104436
2015-1-31,POR,UNQ,33813
2015-2-1,POR,UNQ,24170
2015-2-2,POR,UNQ,35277
2015-2-3,POR,UNQ,36220
2015-2-4,POR,UNQ,28593
2015-2-5,POR,UNQ,28467
2015-2-6,POR,UNQ,22772
2015-2-7,POR,UNQ,20000
2015-2-8,POR,UNQ,59219
2015-2-9,POR,UNQ,27713
2015-2-10,POR,UNQ,22557
2015-2-11,POR,UNQ,26983
2015-2-12,POR,UNQ,20565
2015-2-13,POR,UNQ,21159
2015-2-14,POR,UNQ,48353
2015-2-15,POR,UNQ,56095
2015-2-16,POR,UNQ,64616
2015-2-17,POR,UNQ,16111
2015-2-18,POR,UNQ,21714
2015-2-19,POR,UNQ,155411
2015-2-20,POR,UNQ,95700
2015-2-21,POR,UNQ,27355
2015-2-22,POR,UNQ,48786
2015-2-23,POR,UNQ,39032
2015-2-24,POR,UNQ,26415
2015-2-25,POR,UNQ,25628
2015-2-26,POR,UNQ,40405
2015-2-27,POR,UNQ,29724
2015-2-28,POR,UNQ,37290
2015-3-1,POR,UNQ,26233
2015-3-2,POR,UNQ,22287
2015-3-3,POR,UNQ,34365
2015-3-4,POR,UNQ,40530
2015-3-5,POR,UNQ,42609
2015-3-6,POR,UNQ,81404
2015-3-7,POR,UNQ,36865
2015-3-8,POR,UNQ,18721
2015-3-9,POR,UNQ,22373
2015-3-10,POR,UNQ,28030
2015-3-11,POR,UNQ,26201
2015-3-12,POR,UNQ,38551
2015-3-13,POR,UNQ,33952
2015-3-14,POR,UNQ,92466
2015-3-15,POR,UNQ,29581
2015-3-16,POR,UNQ,50380
2015-3-17,POR,UNQ,27352
2015-3-18,POR,UNQ,25293
2015-3-19,POR,UNQ,21251
2015-3-20,POR,UNQ,20629
2015-3-21,POR,UNQ,21727
2015-3-22,POR,UNQ,12775
2015-3-23,POR,UNQ,17348
2015-3-24,POR,UNQ,26288
2015-3-25,POR,UNQ,22245
2015-3-26,POR,UNQ,25677
2015-3-27,POR,UNQ,22050
2015-3-28,POR,UNQ,27131
2015-3-29,POR,UNQ,23012
2015-3-30,POR,UNQ,28185
2015-3-31,POR,UNQ,35670
2015-4-1,POR,UNQ,32291
2015-4-2,POR,UNQ,74384
2015-4-3,POR,UNQ,37162
2015-4-4,POR,UNQ,37101
2015-4-5,POR,UNQ,39080
2015-4-6,POR,UNQ,39874
2015-4-7,POR,UNQ,26880
2015-4-8,POR,UNQ,25101
2015-4-9,POR,UNQ,25050
2015-4-10,POR,UNQ,21851
2015-4-11,POR,UNQ,27620
2015-4-12,POR,UNQ,22901
2015-4-13,POR,UNQ,33258
2015-4-14,POR,UNQ,37325
2015-4-15,POR,UNQ,34838
2015-4-16,POR,UNQ,40587
2015-4-17,POR,UNQ,20396
2015-4-18,POR,UNQ,21372
2015-4-19,POR,UNQ,30116
2015-4-20,POR,UNQ,17208
2015-4-21,POR,UNQ,27542
2015-4-22,POR,UNQ,28586
2015-4-23,POR,UNQ,14107
2015-4-24,POR,UNQ,12318
2015-4-25,POR,UNQ,25661
2015-4-26,POR,UNQ,20983
2015-4-27,POR,UNQ,20675
2015-4-28,POR,UNQ,31191
2015-4-29,POR,UNQ,25899
2015-4-30,POR,UNQ,19850
2015-5-1,POR,UNQ,11295
2015-5-2,POR,UNQ,4702
2015-5-3,POR,UNQ,4868
2015-5-4,POR,UNQ,4343
2015-5-5,POR,UNQ,5682
2015-5-6,POR,UNQ,6179
2015-5-7,POR,UNQ,4114
2015-5-8,POR,UNQ,3912
2015-5-9,POR,UNQ,3320
2015-5-10,POR,UNQ,3250
2015-5-11,POR,UNQ,4745
2015-5-12,POR,UNQ,14011
2015-5-13,POR,UNQ,10562
2015-5-14,POR,UNQ,10301
2015-5-15,POR,UNQ,7336
2015-5-16,POR,UNQ,7105
2015-5-17,POR,UNQ,4389
2015-5-18,POR,UNQ,7352
2015-5-19,POR,UNQ,18220
2015-5-20,POR,UNQ,13325
2015-5-21,POR,UNQ,10489
2015-5-22,POR,UNQ,9083
2015-5-23,POR,UNQ,5655
2015-5-24,POR,UNQ,3671
2015-5-25,POR,UNQ,5642
2015-5-26,POR,UNQ,9260
2015-5-27,POR,UNQ,6233
2015-5-28,POR,UNQ,5184
2015-5-29,POR,UNQ,7801
2015-5-30,POR,UNQ,16374
2015-5-31,POR,UNQ,8066
2015-6-1,POR,UNQ,7405
2015-6-2,POR,UNQ,7558
2015-6-3,POR,UNQ,10774
2015-6-4,POR,UNQ,8560
2015-6-5,POR,UNQ,42062
2015-6-6,POR,UNQ,8960
2015-6-7,POR,UNQ,4925
2015-6-8,POR,UNQ,5713
2015-6-9,POR,UNQ,6673
2015-6-10,POR,UNQ,6672
2015-6-11,POR,UNQ,9830
2015-6-12,POR,UNQ,7292
2015-6-13,POR,UNQ,3511
2015-6-14,POR,UNQ,5429
2015-6-15,POR,UNQ,8617
2015-6-16,POR,UNQ,7930
2015-6-17,POR,UNQ,5410
2015-6-18,POR,UNQ,10832
2015-6-19,POR,UNQ,22084
2015-6-20,POR,UNQ,15782
2015-6-21,POR,UNQ,5531
2015-6-22,POR,UNQ,11958
2015-6-23,POR,UNQ,11654
2015-6-24,POR,UNQ,38068
2015-6-25,POR,UNQ,49931
2015-6-26,POR,UNQ,75090
2015-6-27,POR,UNQ,33363
2015-6-28,POR,UNQ,13536
2015-6-29,POR,UNQ,15847
2015-6-30,POR,UNQ,19386
2015-7-1,POR,UNQ,24808
2015-7-2,POR,UNQ,15828
2015-7-3,POR,UNQ,15698
2015-7-4,POR,UNQ,17243
2015-7-5,POR,UNQ,14995
2015-7-6,POR,UNQ,12278
2015-7-7,POR,UNQ,29740
2015-7-8,POR,UNQ,37115
2015-7-9,POR,UNQ,54170
2015-7-10,POR,UNQ,43020
2015-7-11,POR,UNQ,36248
2015-7-12,POR,UNQ,47356
2015-7-13,POR,UNQ,57478
2015-7-14,POR,UNQ,39692
2015-7-15,POR,UNQ,22076
2015-7-16,POR,UNQ,26154
2015-7-17,POR,UNQ,18302
2015-7-18,POR,UNQ,20402
2015-7-19,POR,UNQ,10161
2015-7-20,POR,UNQ,17889
2015-7-21,POR,UNQ,24795
2015-7-22,POR,UNQ,19495
2015-7-23,POR,UNQ,15790
2015-7-24,POR,UNQ,24940
2015-7-25,POR,UNQ,18932
2015-7-26,POR,UNQ,19615
2015-7-27,POR,UNQ,28987
2015-7-28,POR,UNQ,13829
2015-7-29,POR,UNQ,16767
2015-7-30,POR,UNQ,18189
2015-7-31,POR,UNQ,10408
2015-8-1,POR,UNQ,10815
2015-8-2,POR,UNQ,7349
2015-8-3,POR,UNQ,13949
2015-8-4,POR,UNQ,9114
2015-8-5,POR,UNQ,11447
2015-8-6,POR,UNQ,14091
2015-8-7,POR,UNQ,16063
2015-8-8,POR,UNQ,8894
